ImgID,Detector,Descriptor,DetectorTime(ms),DescriptorTime(ms),VehicleKeypointsCount,VehicleKeypoints/TotalKeypoints(%),MatchedVehicleKeypointsCount,,TotalTime,
7,FAST,ORB,1.01387,1.03369,150,8.84956,122,,2.04755,
8,FAST,ORB,1.413,1.13854,138,7.89022,123,,2.55154,
9,FAST,ORB,0.947924,1.08339,143,8.0791,119,,2.03131,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,FAST,FREAK,0.946222,42.9495,149,8.16886,0,,43.8957,
1,FAST,FREAK,0.993404,40.4903,152,8.29694,98,,41.4837,
2,FAST,FREAK,0.908043,41.1947,150,8.28729,99,,42.1028,
3,FAST,FREAK,0.933943,40.3184,155,8.53054,91,,41.2523,
4,FAST,FREAK,0.960542,39.9589,149,8.31009,98,,40.9194,
5,FAST,FREAK,0.917648,40.565,149,8.29621,85,,41.4826,
6,FAST,FREAK,0.986793,41.823,156,8.72483,99,,42.8097,
7,FAST,FREAK,0.926192,41.0665,150,8.84956,102,,41.9927,
8,FAST,FREAK,0.980971,41.6174,138,7.89022,101,,42.5984,
9,FAST,FREAK,1.04534,41.1462,143,8.0791,105,,42.1916,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,FAST,SIFT,0.958286,19.3985,149,8.16886,0,,20.3568,
1,FAST,SIFT,0.983666,20.0417,152,8.29694,118,,21.0254,
2,FAST,SIFT,0.99946,20.3723,150,8.28729,123,,21.3717,
3,FAST,SIFT,0.969527,20.5822,155,8.53054,110,,21.5517,
4,FAST,SIFT,0.940298,19.4999,149,8.31009,119,,20.4402,
5,FAST,SIFT,0.878881,26.0631,149,8.29621,114,,26.942,
6,FAST,SIFT,1.00529,19.5993,156,8.72483,119,,20.6046,
7,FAST,SIFT,0.917419,20.5303,150,8.84956,123,,21.4477,
8,FAST,SIFT,0.955807,19.9509,138,7.89022,117,,20.9067,
9,FAST,SIFT,0.923431,19.0702,143,8.0791,103,,19.9936,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,BRISK,BRIEF,42.5724,1.00303,254,9.21291,0,,43.5754,
1,BRISK,BRIEF,43.6505,1.15156,274,9.86676,174,,44.8021,
2,BRISK,BRIEF,42.3343,1.14611,276,10.0693,195,,43.4804,
3,BRISK,BRIEF,40.4293,1.07506,275,10.0548,182,,41.5043,
4,BRISK,BRIEF,42.6057,1.17019,293,10.6275,177,,43.7759,
5,BRISK,BRIEF,40.5136,1.2973,275,10.2041,182,,41.8108,
6,BRISK,BRIEF,41.4669,1.22782,289,10.6446,193,,42.6947,
7,BRISK,BRIEF,40.9608,1.46135,268,10.1979,208,,42.4221,
8,BRISK,BRIEF,40.4247,1.10474,259,9.81432,185,,41.5295,
9,BRISK,BRIEF,39.667,1.02329,250,9.35629,179,,40.6903,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,BRISK,ORB,41.217,4.5219,254,9.21291,0,,45.7389,
1,BRISK,ORB,40.6862,4.62767,274,9.86676,155,,45.3139,
2,BRISK,ORB,39.7457,4.68922,276,10.0693,167,,44.4349,
3,BRISK,ORB,39.7408,4.50368,275,10.0548,155,,44.2445,
4,BRISK,ORB,41.5112,4.6739,293,10.6275,161,,46.1851,
5,BRISK,ORB,40.9295,4.50756,275,10.2041,156,,45.4371,
6,BRISK,ORB,41.0735,4.70247,289,10.6446,181,,45.776,
